Time, CONVEYOR1_PROXIMITY_SENSOR,
2018-08-24 14:06:56.559, true,
2018-08-24 14:06:56.658, true,
2018-08-24 14:06:56.757, true,
2018-08-24 14:06:56.856, true,
2018-08-24 14:06:56.955, true,
2018-08-24 14:06:57.054, true,
2018-08-24 14:06:57.153, true,
2018-08-24 14:06:57.253, true,
2018-08-24 14:06:57.352, true,
2018-08-24 14:06:57.451, true,
2018-08-24 14:06:57.550, true,
2018-08-24 14:06:57.649, true,
2018-08-24 14:06:57.748, true,
2018-08-24 14:06:57.847, true,
2018-08-24 14:06:57.946, true,
2018-08-24 14:06:58.045, true,
2018-08-24 14:06:58.145, true,
2018-08-24 14:06:58.244, true,
2018-08-24 14:06:58.343, true,
2018-08-24 14:06:58.442, true,
2018-08-24 14:06:58.541, true,
2018-08-24 14:06:58.640, true,
2018-08-24 14:06:58.739, true,
2018-08-24 14:06:58.838, true,
2018-08-24 14:06:58.938, true,
2018-08-24 14:06:59.037, true,
2018-08-24 14:06:59.136, true,
2018-08-24 14:06:59.235, true,
2018-08-24 14:06:59.334, true,
2018-08-24 14:06:59.433, true,
2018-08-24 14:06:59.532, true,
2018-08-24 14:06:59.631, true,
2018-08-24 14:06:59.731, true,
2018-08-24 14:06:59.830, true,
2018-08-24 14:06:59.929, true,
2018-08-24 14:07:00.028, true,
2018-08-24 14:07:00.127, true,
2018-08-24 14:07:00.226, true,
2018-08-24 14:07:00.325, true,
2018-08-24 14:07:00.424, true,
2018-08-24 14:07:00.524, true,
2018-08-24 14:07:00.623, true,
2018-08-24 14:07:00.722, true,
2018-08-24 14:07:00.821, true,
2018-08-24 14:07:00.920, true,
2018-08-24 14:07:01.019, true,
2018-08-24 14:07:01.118, true,
2018-08-24 14:07:01.217, true,
2018-08-24 14:07:01.316, true,
2018-08-24 14:07:01.416, true,
2018-08-24 14:07:01.515, true,
2018-08-24 14:07:01.614, true,
2018-08-24 14:07:01.713, true,
2018-08-24 14:07:01.812, true,
2018-08-24 14:07:01.911, true,
2018-08-24 14:07:02.010, true,
2018-08-24 14:07:02.109, true,
2018-08-24 14:07:02.209, true,
2018-08-24 14:07:02.308, true,
2018-08-24 14:07:02.407, true,
2018-08-24 14:07:02.506, true,
2018-08-24 14:07:02.605, true,
2018-08-24 14:07:02.704, true,
2018-08-24 14:07:02.806, true,
2018-08-24 14:07:02.905, true,
2018-08-24 14:07:03.004, true,
2018-08-24 14:07:03.103, true,
2018-08-24 14:07:03.202, true,
2018-08-24 14:07:03.301, true,
2018-08-24 14:07:03.400, true,
2018-08-24 14:07:03.499, true,
2018-08-24 14:07:03.598, true,
